Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 5000 || 25 || 1.0E-4 ||58
2 || 95176.00 || 5000 || 25 || 1.0E-4 ||56
3 || 93500.00 || 5000 || 25 || 1.0E-4 ||59
4 || 96076.00 || 5000 || 25 || 1.0E-4 ||59
5 || 93252.00 || 5000 || 25 || 1.0E-4 ||57
6 || 94640.00 || 5000 || 25 || 1.0E-4 ||52
7 || 96288.00 || 5000 || 25 || 1.0E-4 ||59
8 || 95392.00 || 5000 || 25 || 1.0E-4 ||60
9 || 94932.00 || 5000 || 25 || 1.0E-4 ||61
10 || 93668.00 || 5000 || 25 || 1.0E-4 ||57
