Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94556.00 || 10000 || 5 || 0.001 ||116
2 || 95488.00 || 10000 || 5 || 0.001 ||112
3 || 93832.00 || 10000 || 5 || 0.001 ||114
4 || 96300.00 || 10000 || 5 || 0.001 ||118
5 || 93720.00 || 10000 || 5 || 0.001 ||112
6 || 95096.00 || 10000 || 5 || 0.001 ||106
7 || 96692.00 || 10000 || 5 || 0.001 ||114
8 || 95760.00 || 10000 || 5 || 0.001 ||117
9 || 95548.00 || 10000 || 5 || 0.001 ||120
10 || 94188.00 || 10000 || 5 || 0.001 ||113
