Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94152.00 || 1000 || 25 || 0.01 ||14
2 || 94956.00 || 1000 || 25 || 0.01 ||13
3 || 93188.00 || 1000 || 25 || 0.01 ||13
4 || 96076.00 || 1000 || 25 || 0.01 ||12
5 || 93080.00 || 1000 || 25 || 0.01 ||11
6 || 94616.00 || 1000 || 25 || 0.01 ||11
7 || 96356.00 || 1000 || 25 || 0.01 ||12
8 || 95340.00 || 1000 || 25 || 0.01 ||12
9 || 95064.00 || 1000 || 25 || 0.01 ||14
10 || 93780.00 || 1000 || 25 || 0.01 ||13
