Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94348.00 || 5000 || 25 || 0.01
2 || 95212.00 || 5000 || 25 || 0.01
3 || 93936.00 || 5000 || 25 || 0.01
4 || 96100.00 || 5000 || 25 || 0.01
5 || 93696.00 || 5000 || 25 || 0.01
6 || 94936.00 || 5000 || 25 || 0.01
7 || 96464.00 || 5000 || 25 || 0.01
8 || 95660.00 || 5000 || 25 || 0.01
9 || 95256.00 || 5000 || 25 || 0.01
10 || 94044.00 || 5000 || 25 || 0.01
