Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 5000 || 125 || 1.0E-4 ||61
2 || 94852.00 || 5000 || 125 || 1.0E-4 ||64
3 || 93036.00 || 5000 || 125 || 1.0E-4 ||60
4 || 96076.00 || 5000 || 125 || 1.0E-4 ||62
5 || 93080.00 || 5000 || 125 || 1.0E-4 ||58
6 || 94612.00 || 5000 || 125 || 1.0E-4 ||54
7 || 96300.00 || 5000 || 125 || 1.0E-4 ||63
8 || 95176.00 || 5000 || 125 || 1.0E-4 ||62
9 || 94916.00 || 5000 || 125 || 1.0E-4 ||62
10 || 93700.00 || 5000 || 125 || 1.0E-4 ||60
