Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94516.00 || 10000 || 5 || 0.01 ||118
2 || 95360.00 || 10000 || 5 || 0.01 ||110
3 || 94152.00 || 10000 || 5 || 0.01 ||114
4 || 96208.00 || 10000 || 5 || 0.01 ||120
5 || 93552.00 || 10000 || 5 || 0.01 ||113
6 || 94948.00 || 10000 || 5 || 0.01 ||106
7 || 96776.00 || 10000 || 5 || 0.01 ||113
8 || 95968.00 || 10000 || 5 || 0.01 ||118
9 || 95416.00 || 10000 || 5 || 0.01 ||119
10 || 94236.00 || 10000 || 5 || 0.01 ||115
