Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 5000 || 125 || 0.01 ||62
2 || 94820.00 || 5000 || 125 || 0.01 ||56
3 || 93396.00 || 5000 || 125 || 0.01 ||59
4 || 96076.00 || 5000 || 125 || 0.01 ||59
5 || 93036.00 || 5000 || 125 || 0.01 ||56
6 || 94612.00 || 5000 || 125 || 0.01 ||53
7 || 96288.00 || 5000 || 125 || 0.01 ||60
8 || 95172.00 || 5000 || 125 || 0.01 ||59
9 || 94916.00 || 5000 || 125 || 0.01 ||61
10 || 93772.00 || 5000 || 125 || 0.01 ||58
