Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94520.00 || 5000 || 5 || 1.0E-4 ||60
2 || 95252.00 || 5000 || 5 || 1.0E-4 ||57
3 || 93600.00 || 5000 || 5 || 1.0E-4 ||59
4 || 96136.00 || 5000 || 5 || 1.0E-4 ||59
5 || 93352.00 || 5000 || 5 || 1.0E-4 ||58
6 || 94936.00 || 5000 || 5 || 1.0E-4 ||54
7 || 96548.00 || 5000 || 5 || 1.0E-4 ||60
8 || 95668.00 || 5000 || 5 || 1.0E-4 ||60
9 || 95232.00 || 5000 || 5 || 1.0E-4 ||61
10 || 94064.00 || 5000 || 5 || 1.0E-4 ||58
