Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 1000 || 125 || 0.001 ||13
2 || 94920.00 || 1000 || 125 || 0.001 ||12
3 || 93036.00 || 1000 || 125 || 0.001 ||12
4 || 96076.00 || 1000 || 125 || 0.001 ||13
5 || 93080.00 || 1000 || 125 || 0.001 ||11
6 || 94612.00 || 1000 || 125 || 0.001 ||11
7 || 96288.00 || 1000 || 125 || 0.001 ||12
8 || 95172.00 || 1000 || 125 || 0.001 ||12
9 || 94916.00 || 1000 || 125 || 0.001 ||15
10 || 93700.00 || 1000 || 125 || 0.001 ||12
