Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94388.00 || 10000 || 25 || 1.0E-4 ||118
2 || 95292.00 || 10000 || 25 || 1.0E-4 ||114
3 || 94292.00 || 10000 || 25 || 1.0E-4 ||114
4 || 96084.00 || 10000 || 25 || 1.0E-4 ||117
5 || 93732.00 || 10000 || 25 || 1.0E-4 ||113
6 || 94908.00 || 10000 || 25 || 1.0E-4 ||109
7 || 96220.00 || 10000 || 25 || 1.0E-4 ||119
8 || 95372.00 || 10000 || 25 || 1.0E-4 ||120
9 || 95256.00 || 10000 || 25 || 1.0E-4 ||121
10 || 93956.00 || 10000 || 25 || 1.0E-4 ||115
