Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94296.00 || 1000 || 5 || 1.0E-4 ||13
2 || 95100.00 || 1000 || 5 || 1.0E-4 ||12
3 || 93112.00 || 1000 || 5 || 1.0E-4 ||12
4 || 96068.00 || 1000 || 5 || 1.0E-4 ||13
5 || 93092.00 || 1000 || 5 || 1.0E-4 ||11
6 || 94628.00 || 1000 || 5 || 1.0E-4 ||11
7 || 96352.00 || 1000 || 5 || 1.0E-4 ||12
8 || 95320.00 || 1000 || 5 || 1.0E-4 ||12
9 || 94984.00 || 1000 || 5 || 1.0E-4 ||13
10 || 93880.00 || 1000 || 5 || 1.0E-4 ||12
