Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94272.00 || 1000 || 5 || 0.01 ||45
2 || 94920.00 || 1000 || 5 || 0.01 ||31
3 || 93228.00 || 1000 || 5 || 0.01 ||31
4 || 96196.00 || 1000 || 5 || 0.01 ||18
5 || 93156.00 || 1000 || 5 || 0.01 ||16
6 || 94732.00 || 1000 || 5 || 0.01 ||16
7 || 96432.00 || 1000 || 5 || 0.01 ||16
8 || 95464.00 || 1000 || 5 || 0.01 ||15
9 || 95160.00 || 1000 || 5 || 0.01 ||16
10 || 93780.00 || 1000 || 5 || 0.01 ||13
