Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 10000 || 125 || 0.001 ||126
2 || 94720.00 || 10000 || 125 || 0.001 ||115
3 || 94052.00 || 10000 || 125 || 0.001 ||116
4 || 96076.00 || 10000 || 125 || 0.001 ||121
5 || 93732.00 || 10000 || 125 || 0.001 ||111
6 || 94796.00 || 10000 || 125 || 0.001 ||107
7 || 96200.00 || 10000 || 125 || 0.001 ||118
8 || 95172.00 || 10000 || 125 || 0.001 ||122
9 || 95396.00 || 10000 || 125 || 0.001 ||122
10 || 93876.00 || 10000 || 125 || 0.001 ||118
