Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94244.00 || 1000 || 125 || 0.01
2 || 94852.00 || 1000 || 125 || 0.01
3 || 93036.00 || 1000 || 125 || 0.01
4 || 96076.00 || 1000 || 125 || 0.01
5 || 93080.00 || 1000 || 125 || 0.01
6 || 94612.00 || 1000 || 125 || 0.01
7 || 96288.00 || 1000 || 125 || 0.01
8 || 95172.00 || 1000 || 125 || 0.01
9 || 94916.00 || 1000 || 125 || 0.01
10 || 93700.00 || 1000 || 125 || 0.01
