Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94288.00 || 5000 || 125 || 0.001 ||61
2 || 94852.00 || 5000 || 125 || 0.001 ||59
3 || 93440.00 || 5000 || 125 || 0.001 ||60
4 || 96076.00 || 5000 || 125 || 0.001 ||62
5 || 93080.00 || 5000 || 125 || 0.001 ||58
6 || 94612.00 || 5000 || 125 || 0.001 ||56
7 || 96288.00 || 5000 || 125 || 0.001 ||65
8 || 95172.00 || 5000 || 125 || 0.001 ||66
9 || 94916.00 || 5000 || 125 || 0.001 ||61
10 || 93684.00 || 5000 || 125 || 0.001 ||60
