Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 1000 || 25 || 1.0E-4 ||12
2 || 95012.00 || 1000 || 25 || 1.0E-4 ||12
3 || 93088.00 || 1000 || 25 || 1.0E-4 ||12
4 || 96076.00 || 1000 || 25 || 1.0E-4 ||12
5 || 93112.00 || 1000 || 25 || 1.0E-4 ||11
6 || 94612.00 || 1000 || 25 || 1.0E-4 ||11
7 || 96288.00 || 1000 || 25 || 1.0E-4 ||12
8 || 95196.00 || 1000 || 25 || 1.0E-4 ||12
9 || 94932.00 || 1000 || 25 || 1.0E-4 ||13
10 || 93700.00 || 1000 || 25 || 1.0E-4 ||12
