Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94356.00 || 5000 || 25 || 0.001
2 || 95124.00 || 5000 || 25 || 0.001
3 || 94016.00 || 5000 || 25 || 0.001
4 || 96000.00 || 5000 || 25 || 0.001
5 || 93604.00 || 5000 || 25 || 0.001
6 || 94880.00 || 5000 || 25 || 0.001
7 || 96400.00 || 5000 || 25 || 0.001
8 || 95556.00 || 5000 || 25 || 0.001
9 || 95328.00 || 5000 || 25 || 0.001
10 || 93980.00 || 5000 || 25 || 0.001
