Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94316.00 || 10000 || 25 || 0.01 ||116
2 || 95568.00 || 10000 || 25 || 0.01 ||112
3 || 94120.00 || 10000 || 25 || 0.01 ||114
4 || 96192.00 || 10000 || 25 || 0.01 ||116
5 || 93872.00 || 10000 || 25 || 0.01 ||112
6 || 94956.00 || 10000 || 25 || 0.01 ||107
7 || 96616.00 || 10000 || 25 || 0.01 ||116
8 || 95692.00 || 10000 || 25 || 0.01 ||120
9 || 95344.00 || 10000 || 25 || 0.01 ||118
10 || 94116.00 || 10000 || 25 || 0.01 ||114
