Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94488.00 || 10000 || 25 || 0.001 ||115
2 || 95424.00 || 10000 || 25 || 0.001 ||112
3 || 94492.00 || 10000 || 25 || 0.001 ||117
4 || 96228.00 || 10000 || 25 || 0.001 ||117
5 || 93932.00 || 10000 || 25 || 0.001 ||112
6 || 95052.00 || 10000 || 25 || 0.001 ||107
7 || 96684.00 || 10000 || 25 || 0.001 ||114
8 || 95848.00 || 10000 || 25 || 0.001 ||119
9 || 95444.00 || 10000 || 25 || 0.001 ||119
10 || 94016.00 || 10000 || 25 || 0.001 ||113
