Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94380.00 || 5000 || 5 || 0.001
2 || 95424.00 || 5000 || 5 || 0.001
3 || 93976.00 || 5000 || 5 || 0.001
4 || 96244.00 || 5000 || 5 || 0.001
5 || 93696.00 || 5000 || 5 || 0.001
6 || 94908.00 || 5000 || 5 || 0.001
7 || 96612.00 || 5000 || 5 || 0.001
8 || 95760.00 || 5000 || 5 || 0.001
9 || 95392.00 || 5000 || 5 || 0.001
10 || 94016.00 || 5000 || 5 || 0.001
