Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94312.00 || 5000 || 5 || 0.01 ||58
2 || 95320.00 || 5000 || 5 || 0.01 ||57
3 || 93624.00 || 5000 || 5 || 0.01 ||60
4 || 96184.00 || 5000 || 5 || 0.01 ||62
5 || 93452.00 || 5000 || 5 || 0.01 ||56
6 || 94776.00 || 5000 || 5 || 0.01 ||54
7 || 96680.00 || 5000 || 5 || 0.01 ||58
8 || 95616.00 || 5000 || 5 || 0.01 ||61
9 || 95316.00 || 5000 || 5 || 0.01 ||60
10 || 94028.00 || 5000 || 5 || 0.01 ||58
