Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94292.00 || 1000 || 5 || 0.001
2 || 94908.00 || 1000 || 5 || 0.001
3 || 93348.00 || 1000 || 5 || 0.001
4 || 96076.00 || 1000 || 5 || 0.001
5 || 93200.00 || 1000 || 5 || 0.001
6 || 94596.00 || 1000 || 5 || 0.001
7 || 96424.00 || 1000 || 5 || 0.001
8 || 95376.00 || 1000 || 5 || 0.001
9 || 95136.00 || 1000 || 5 || 0.001
10 || 93824.00 || 1000 || 5 || 0.001
