Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94236.00 || 10000 || 125 || 1.0E-4 ||119
2 || 94852.00 || 10000 || 125 || 1.0E-4 ||118
3 || 93036.00 || 10000 || 125 || 1.0E-4 ||121
4 || 96076.00 || 10000 || 125 || 1.0E-4 ||129
5 || 93080.00 || 10000 || 125 || 1.0E-4 ||112
6 || 94612.00 || 10000 || 125 || 1.0E-4 ||114
7 || 96288.00 || 10000 || 125 || 1.0E-4 ||125
8 || 95172.00 || 10000 || 125 || 1.0E-4 ||125
9 || 94916.00 || 10000 || 125 || 1.0E-4 ||133
10 || 93728.00 || 10000 || 125 || 1.0E-4 ||118
