Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94264.00 || 1000 || 25 || 0.001 ||12
2 || 94904.00 || 1000 || 25 || 0.001 ||11
3 || 93228.00 || 1000 || 25 || 0.001 ||12
4 || 96176.00 || 1000 || 25 || 0.001 ||13
5 || 93260.00 || 1000 || 25 || 0.001 ||11
6 || 94628.00 || 1000 || 25 || 0.001 ||12
7 || 96460.00 || 1000 || 25 || 0.001 ||12
8 || 95256.00 || 1000 || 25 || 0.001 ||13
9 || 94916.00 || 1000 || 25 || 0.001 ||14
10 || 93700.00 || 1000 || 25 || 0.001 ||12
