Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94412.00 || 5000 || 5 || 1.0E-4
2 || 95244.00 || 5000 || 5 || 1.0E-4
3 || 93812.00 || 5000 || 5 || 1.0E-4
4 || 96144.00 || 5000 || 5 || 1.0E-4
5 || 93592.00 || 5000 || 5 || 1.0E-4
6 || 94864.00 || 5000 || 5 || 1.0E-4
7 || 96616.00 || 5000 || 5 || 1.0E-4
8 || 95800.00 || 5000 || 5 || 1.0E-4
9 || 95396.00 || 5000 || 5 || 1.0E-4
10 || 94016.00 || 5000 || 5 || 1.0E-4
