Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94548.00 || 10000 || 25 || 0.01
2 || 95296.00 || 10000 || 25 || 0.01
3 || 94276.00 || 10000 || 25 || 0.01
4 || 96404.00 || 10000 || 25 || 0.01
5 || 93620.00 || 10000 || 25 || 0.01
6 || 95172.00 || 10000 || 25 || 0.01
7 || 96924.00 || 10000 || 25 || 0.01
8 || 95668.00 || 10000 || 25 || 0.01
9 || 95356.00 || 10000 || 25 || 0.01
10 || 94288.00 || 10000 || 25 || 0.01
