Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94236.00 || 1000 || 25 || 0.01
2 || 94968.00 || 1000 || 25 || 0.01
3 || 93232.00 || 1000 || 25 || 0.01
4 || 96088.00 || 1000 || 25 || 0.01
5 || 93248.00 || 1000 || 25 || 0.01
6 || 94548.00 || 1000 || 25 || 0.01
7 || 96484.00 || 1000 || 25 || 0.01
8 || 95296.00 || 1000 || 25 || 0.01
9 || 95276.00 || 1000 || 25 || 0.01
10 || 93836.00 || 1000 || 25 || 0.01
