Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94248.00 || 1000 || 5 || 1.0E-4
2 || 95052.00 || 1000 || 5 || 1.0E-4
3 || 93148.00 || 1000 || 5 || 1.0E-4
4 || 96092.00 || 1000 || 5 || 1.0E-4
5 || 93152.00 || 1000 || 5 || 1.0E-4
6 || 94620.00 || 1000 || 5 || 1.0E-4
7 || 96392.00 || 1000 || 5 || 1.0E-4
8 || 95364.00 || 1000 || 5 || 1.0E-4
9 || 94972.00 || 1000 || 5 || 1.0E-4
10 || 93832.00 || 1000 || 5 || 1.0E-4
