Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94236.00 || 10000 || 125 || 1.0E-4
2 || 94852.00 || 10000 || 125 || 1.0E-4
3 || 93036.00 || 10000 || 125 || 1.0E-4
4 || 96076.00 || 10000 || 125 || 1.0E-4
5 || 93080.00 || 10000 || 125 || 1.0E-4
6 || 94612.00 || 10000 || 125 || 1.0E-4
7 || 96288.00 || 10000 || 125 || 1.0E-4
8 || 95172.00 || 10000 || 125 || 1.0E-4
9 || 94916.00 || 10000 || 125 || 1.0E-4
10 || 93700.00 || 10000 || 125 || 1.0E-4
