Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94244.00 || 1000 || 25 || 0.001
2 || 94784.00 || 1000 || 25 || 0.001
3 || 93036.00 || 1000 || 25 || 0.001
4 || 96076.00 || 1000 || 25 || 0.001
5 || 93176.00 || 1000 || 25 || 0.001
6 || 94692.00 || 1000 || 25 || 0.001
7 || 96348.00 || 1000 || 25 || 0.001
8 || 95280.00 || 1000 || 25 || 0.001
9 || 94904.00 || 1000 || 25 || 0.001
10 || 93712.00 || 1000 || 25 || 0.001
