Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94236.00 || 1000 || 25 || 1.0E-4
2 || 94948.00 || 1000 || 25 || 1.0E-4
3 || 93068.00 || 1000 || 25 || 1.0E-4
4 || 96076.00 || 1000 || 25 || 1.0E-4
5 || 93080.00 || 1000 || 25 || 1.0E-4
6 || 94612.00 || 1000 || 25 || 1.0E-4
7 || 96352.00 || 1000 || 25 || 1.0E-4
8 || 95208.00 || 1000 || 25 || 1.0E-4
9 || 94916.00 || 1000 || 25 || 1.0E-4
10 || 93700.00 || 1000 || 25 || 1.0E-4
