Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94472.00 || 10000 || 5 || 1.0E-4
2 || 95420.00 || 10000 || 5 || 1.0E-4
3 || 93528.00 || 10000 || 5 || 1.0E-4
4 || 96400.00 || 10000 || 5 || 1.0E-4
5 || 93876.00 || 10000 || 5 || 1.0E-4
6 || 94928.00 || 10000 || 5 || 1.0E-4
7 || 96700.00 || 10000 || 5 || 1.0E-4
8 || 95800.00 || 10000 || 5 || 1.0E-4
9 || 95532.00 || 10000 || 5 || 1.0E-4
10 || 94148.00 || 10000 || 5 || 1.0E-4
