Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 289244.00 || 10000 || 25 || 0.001 ||401
2 || 289484.00 || 10000 || 25 || 0.001 ||373
3 || 290476.00 || 10000 || 25 || 0.001 ||320
4 || 287516.00 || 10000 || 25 || 0.001 ||242
5 || 290112.00 || 10000 || 25 || 0.001 ||313
6 || 290332.00 || 10000 || 25 || 0.001 ||313
7 || 291768.00 || 10000 || 25 || 0.001 ||326
8 || 292632.00 || 10000 || 25 || 0.001 ||320
9 || 288880.00 || 10000 || 25 || 0.001 ||359
10 || 288236.00 || 10000 || 25 || 0.001 ||332
