Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 94372.00 || 10000 || 25 || 0.001 ||163
2 || 95540.00 || 10000 || 25 || 0.001 ||105
3 || 94228.00 || 10000 || 25 || 0.001 ||106
4 || 96336.00 || 10000 || 25 || 0.001 ||109
5 || 93848.00 || 10000 || 25 || 0.001 ||105
6 || 94888.00 || 10000 || 25 || 0.001 ||100
7 || 96768.00 || 10000 || 25 || 0.001 ||104
8 || 95560.00 || 10000 || 25 || 0.001 ||106
9 || 95732.00 || 10000 || 25 || 0.001 ||110
10 || 94216.00 || 10000 || 25 || 0.001 ||104
