Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 387000.00 || 10000 || 25 || 0.001 ||450
2 || 388288.00 || 10000 || 25 || 0.001 ||428
3 || 389852.00 || 10000 || 25 || 0.001 ||445
4 || 386000.00 || 10000 || 25 || 0.001 ||473
5 || 388524.00 || 10000 || 25 || 0.001 ||458
6 || 386040.00 || 10000 || 25 || 0.001 ||447
7 || 389796.00 || 10000 || 25 || 0.001 ||443
8 || 388284.00 || 10000 || 25 || 0.001 ||405
9 || 384840.00 || 10000 || 25 || 0.001 ||315
10 || 385936.00 || 10000 || 25 || 0.001 ||410
