Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 192424.00 || 8563 || 200 || 3518.00 || 2 || 640 || 32
2 || 192728.00 || 4810 || 200 || 3356.00 || 2 || 640 || 20
3 || 192880.00 || 5482 || 200 || 3300.00 || 2 || 640 || 22
4 || 192596.00 || 9281 || 200 || 3642.00 || 2 || 640 || 38
5 || 192236.00 || 8644 || 200 || 3702.00 || 2 || 640 || 36
6 || 192108.00 || 4691 || 200 || 3686.00 || 2 || 640 || 20
7 || 191504.00 || 3957 || 200 || 4288.00 || 2 || 640 || 17
8 || 192900.00 || 12546 || 200 || 3250.00 || 2 || 640 || 51
9 || 192320.00 || 7031 || 200 || 3760.00 || 2 || 640 || 27
10 || 191384.00 || 5337 || 200 || 3808.00 || 2 || 640 || 22
