Execucio || Benefici (€) || Temps (ms)|| PeticionsServides || KmRecorreguts || Cost per Km || Max Km dia || NodesExpandits
1 || 387532.00 || 126002 || 400 || 5894.00 || 2 || 640 || 50
2 || 388600.00 || 139104 || 400 || 5410.00 || 2 || 640 || 52
3 || 389820.00 || 114386 || 400 || 4880.00 || 2 || 640 || 42
4 || 386324.00 || 101959 || 400 || 6708.00 || 2 || 640 || 38
5 || 388656.00 || 107872 || 400 || 5102.00 || 2 || 640 || 44
6 || 386348.00 || 129926 || 400 || 6086.00 || 2 || 640 || 53
7 || 389724.00 || 95520 || 400 || 5078.00 || 2 || 640 || 34
8 || 388184.00 || 127495 || 400 || 5278.00 || 2 || 640 || 51
9 || 385268.00 || 116537 || 400 || 6716.00 || 2 || 640 || 46
10 || 386516.00 || 147542 || 400 || 5952.00 || 2 || 640 || 59
