Execucio || Benefici (€) || Iteracions ||  k || Lambda || Temps (ms)
1 || 192312.00 || 10000 || 25 || 0.001 ||215
2 || 192884.00 || 10000 || 25 || 0.001 ||211
3 || 192740.00 || 10000 || 25 || 0.001 ||214
4 || 192368.00 || 10000 || 25 || 0.001 ||212
5 || 191928.00 || 10000 || 25 || 0.001 ||210
6 || 192212.00 || 10000 || 25 || 0.001 ||205
7 || 191288.00 || 10000 || 25 || 0.001 ||159
8 || 192132.00 || 10000 || 25 || 0.001 ||218
9 || 191928.00 || 10000 || 25 || 0.001 ||255
10 || 191228.00 || 10000 || 25 || 0.001 ||233
