Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 387092.00 || 10000 || 25 || 0.001
2 || 388288.00 || 10000 || 25 || 0.001
3 || 389292.00 || 10000 || 25 || 0.001
4 || 386088.00 || 10000 || 25 || 0.001
5 || 388568.00 || 10000 || 25 || 0.001
6 || 386088.00 || 10000 || 25 || 0.001
7 || 389692.00 || 10000 || 25 || 0.001
8 || 387816.00 || 10000 || 25 || 0.001
9 || 384840.00 || 10000 || 25 || 0.001
10 || 385736.00 || 10000 || 25 || 0.001
