Execucio || Benefici (€) || Iteracions ||  k || Lambda
1 || 94560.00 || 10000 || 25 || 0.001
2 || 95364.00 || 10000 || 25 || 0.001
3 || 93928.00 || 10000 || 25 || 0.001
4 || 96432.00 || 10000 || 25 || 0.001
5 || 93672.00 || 10000 || 25 || 0.001
6 || 95116.00 || 10000 || 25 || 0.001
7 || 96680.00 || 10000 || 25 || 0.001
8 || 95876.00 || 10000 || 25 || 0.001
9 || 95496.00 || 10000 || 25 || 0.001
10 || 94280.00 || 10000 || 25 || 0.001
